step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,260,4,1.2487036099878854,0.0,0.28169014084507044
2,456,8,1.7297880068644373,0.0,0.273972602739726
3,844,12,1.1016739915972447,0.0,0.4523809523809524
4,1072,16,1.3704653847591752,0.0,0.2876712328767123
5,1268,20,1.5908457905235505,0.0,0.391304347826087
6,1592,24,0.8682797803112698,0.0,0.4891304347826087
7,1852,28,1.2407214752333675,0.0,0.5045871559633027
8,2176,32,0.8971291218219631,0.0,0.5436893203883495
9,2596,36,0.7660155877543142,0.0,0.6014492753623188
10,2984,40,0.5667088135929327,0.0,0.7301587301587301
11,3372,44,0.40595487298812866,0.0,0.7264150943396226
12,3664,48,0.44948786770842464,0.0,0.7349397590361446
13,3956,52,0.664382053145954,0.0,0.6764705882352942
14,4408,56,0.46795659884209856,0.0,0.6504854368932039
15,4604,60,1.108813718236811,0.0,0.5432098765432098
16,4896,64,0.647283367288848,0.0,0.7314814814814815
17,5188,68,0.45440786767620434,0.0,0.7821782178217822
18,5544,72,0.604455689709172,0.0,0.7121212121212122
19,5868,76,0.2800956481126337,0.0,0.7794117647058824
20,6192,80,0.5839357475095033,0.0,0.725
21,6452,84,0.6556137299252324,0.0,0.7129629629629629
22,6712,88,0.5293479542402605,0.0,0.6486486486486487
23,7004,92,0.38624533646264425,0.0,0.7631578947368421
24,7296,96,0.47912371548714844,0.0,0.6578947368421053
25,7588,100,0.4940672929790775,0.0,0.76
26,8008,104,0.29506030448629167,0.0,0.7741935483870968
27,8268,108,0.385613981723106,0.0,0.803030303030303
28,8528,112,0.512741740019016,0.0,0.7142857142857143
29,8884,116,0.3746318240029954,0.0,0.7701149425287356
30,9176,120,0.6133413694220166,0.0,0.7075471698113207
31,9436,124,0.5853900113590293,0.0,0.6835443037974683
32,9888,128,0.5727911273677068,0.0,0.7044025157232704
33,10084,132,0.7756524499588687,0.0,0.71875
34,10376,136,0.47011852401162507,0.0,0.6956521739130435
35,10732,140,0.294583659946468,0.0,0.8194444444444444
36,11056,144,0.7444372563884535,0.0,0.72
37,11316,148,0.5116925576585106,0.0,0.7191011235955056
38,11576,152,0.3663873730058228,0.0,0.7837837837837838
