step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,648,8,1.205127956271146,0.0,0.4577777777777778
2,1424,16,0.7827253406183282,0.0,0.43373493975903615
3,2328,24,0.8646468001153417,0.0,0.5247148288973384
4,2976,32,0.8970076881249188,0.0,0.5528846153846154
5,3560,40,0.8459719148123308,0.0,0.5860215053763441
6,4336,48,0.49862757414743625,0.0,0.6703296703296703
7,5048,56,0.7199950873533999,0.0,0.6680497925311203
8,5952,64,0.3619286755705889,0.0,0.6612021857923497
9,6792,72,0.4316967403980082,0.0,0.6792452830188679
10,7568,80,0.44575914156257607,0.0,0.7183098591549296
11,8152,88,0.39713394773087685,0.0,0.7485380116959064
12,8928,96,0.31658814141891056,0.0,0.7282608695652174
13,9768,104,0.4099117417845862,0.0,0.7244444444444444
14,10608,112,0.3961856266038243,0.0,0.7407407407407407
15,11448,120,0.45716992045860194,0.0,0.7478260869565218
16,12032,128,0.4415313170963368,0.0,0.7526881720430108
17,12808,136,0.44248270397191586,0.0,0.7519685039370079
18,13328,144,0.8081210715918484,0.0,0.7136929460580913
19,13848,152,0.5231856698853937,0.0,0.7613636363636364
20,14496,160,0.3709257855219271,0.0,0.7486033519553073
21,15144,168,0.4843827060924596,0.0,0.7378640776699029
22,15856,176,0.49718960240579607,0.0,0.7372881355932204
23,16568,184,0.284516313908863,0.0,0.8121546961325967
24,17280,192,0.39383532279408945,0.0,0.7758620689655172
25,17864,200,0.35365248950990996,0.0,0.7828571428571428
26,18704,208,0.40286677958628603,0.0,0.7795918367346939
27,19416,216,0.38132145475256946,0.0,0.7788944723618091
28,19936,224,0.45097894337171596,0.0,0.7633136094674556
29,20584,232,0.5365326472316057,0.0,0.7318181818181818
30,21360,240,0.4511481879290207,0.0,0.7300884955752213
31,22008,248,0.4291617518244985,0.0,0.7843137254901961
32,22848,256,0.27752823403816473,0.0,0.7803468208092486
33,23560,264,0.3485696128247789,0.0,0.798941798941799
34,24336,272,0.6385483864687497,0.0,0.7133105802047781
